attack_id,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt
323,3,Bombing/Explosion,14,Private Citizens & Property,8,Incendiary,,Unknown
324,1,Assassination,10,Journalists & Media,8,Incendiary,,Unknown
325,5,Hostage Taking (Barricade Incident),6,Airports & Aircraft,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
326,2,Armed Assault,7,Government (Diplomatic),5,Firearms,5.0,Unknown Gun Type
327,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,15.0,Vehicle
328,3,Bombing/Explosion,1,Business,5,Firearms,5.0,Unknown Gun Type
329,2,Armed Assault,19,Transportation,8,Incendiary,,Unknown
330,1,Assassination,22,Violent Political Party,6,Explosives,16.0,Unknown Explosive Type
331,2,Armed Assault,1,Business,8,Incendiary,,Unknown
332,9,Unknown,9,Food or Water Supply,13,Unknown,,Unknown
333,9,Unknown,1,Business,13,Unknown,,Unknown
334,7,Facility/Infrastructure Attack,6,Airports & Aircraft,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
335,2,Armed Assault,17,Terrorists/Non-State Militia,9,Melee,23.0,Knife or Other Sharp Object
336,1,Assassination,1,Business,8,Incendiary,,Unknown
337,3,Bombing/Explosion,14,Private Citizens & Property,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
338,2,Armed Assault,7,Government (Diplomatic),5,Firearms,3.0,Handgun
339,2,Armed Assault,19,Transportation,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
340,1,Assassination,19,Transportation,5,Firearms,3.0,Handgun
341,5,Hostage Taking (Barricade Incident),10,Journalists & Media,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
342,7,Facility/Infrastructure Attack,19,Transportation,8,Incendiary,,Unknown
343,6,Hostage Taking (Kidnapping),3,Police,5,Firearms,5.0,Unknown Gun Type
344,1,Assassination,22,Violent Political Party,13,Unknown,,Unknown
345,6,Hostage Taking (Kidnapping),6,Airports & Aircraft,13,Unknown,,Unknown
346,6,Hostage Taking (Kidnapping),4,Military,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
347,3,Bombing/Explosion,9,Food or Water Supply,6,Explosives,16.0,Unknown Explosive Type
348,5,Hostage Taking (Barricade Incident),1,Business,13,Unknown,,Unknown
349,7,Facility/Infrastructure Attack,19,Transportation,2,Chemical,,Unknown
350,9,Unknown,15,Religious Figures/Institutions,13,Unknown,,Unknown
351,5,Hostage Taking (Barricade Incident),16,Telecommunication,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
352,6,Hostage Taking (Kidnapping),11,Maritime,13,Unknown,,Unknown
353,2,Armed Assault,20,Unknown,5,Firearms,5.0,Unknown Gun Type
354,1,Assassination,22,Violent Political Party,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
355,2,Armed Assault,20,Unknown,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
356,3,Bombing/Explosion,7,Government (Diplomatic),5,Firearms,3.0,Handgun
357,8,Unarmed Assault,2,Government (General),2,Chemical,,Unknown
358,7,Facility/Infrastructure Attack,7,Government (Diplomatic),8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
359,6,Hostage Taking (Kidnapping),20,Unknown,13,Unknown,,Unknown
360,7,Facility/Infrastructure Attack,12,NGO,8,Incendiary,,Unknown
361,2,Armed Assault,11,Maritime,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
362,1,Assassination,7,Government (Diplomatic),5,Firearms,5.0,Unknown Gun Type
363,6,Hostage Taking (Kidnapping),1,Business,5,Firearms,3.0,Handgun
364,7,Facility/Infrastructure Attack,21,Utilities,9,Melee,23.0,Knife or Other Sharp Object
365,2,Armed Assault,4,Military,9,Melee,23.0,Knife or Other Sharp Object
366,2,Armed Assault,19,Transportation,5,Firearms,3.0,Handgun
367,3,Bombing/Explosion,1,Business,8,Incendiary,,Unknown
368,8,Unarmed Assault,1,Business,12,Other,,Unknown
369,7,Facility/Infrastructure Attack,22,Violent Political Party,8,Incendiary,,Unknown
370,2,Armed Assault,22,Violent Political Party,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
371,5,Hostage Taking (Barricade Incident),1,Business,6,Explosives,16.0,Unknown Explosive Type
372,3,Bombing/Explosion,8,Educational Institution,13,Unknown,,Unknown
373,2,Armed Assault,20,Unknown,5,Firearms,3.0,Handgun
374,3,Bombing/Explosion,8,Educational Institution,6,Explosives,7.0,Grenade
375,2,Armed Assault,6,Airports & Aircraft,8,Incendiary,,Unknown
376,3,Bombing/Explosion,4,Military,6,Explosives,7.0,Grenade
377,9,Unknown,11,Maritime,13,Unknown,,Unknown
378,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,9.0,Letter Bomb
379,6,Hostage Taking (Kidnapping),8,Educational Institution,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
380,3,Bombing/Explosion,4,Military,8,Incendiary,,Unknown
381,2,Armed Assault,17,Terrorists/Non-State Militia,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
382,1,Assassination,14,Private Citizens & Property,8,Incendiary,20.0,Gasoline or Alcohol
383,8,Unarmed Assault,14,Private Citizens & Property,2,Chemical,1.0,Poisoning
384,2,Armed Assault,4,Military,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
385,3,Bombing/Explosion,11,Maritime,6,Explosives,29.0,Sticky Bomb
386,5,Hostage Taking (Barricade Incident),2,Government (General),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
387,1,Assassination,18,Tourists,5,Firearms,5.0,Unknown Gun Type
388,1,Assassination,17,Terrorists/Non-State Militia,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
389,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,8,Incendiary,,Unknown
390,1,Assassination,3,Police,13,Unknown,,Unknown
391,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,28.0,Dynamite/TNT
392,7,Facility/Infrastructure Attack,16,Telecommunication,8,Incendiary,,Unknown
393,9,Unknown,2,Government (General),13,Unknown,,Unknown
394,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,7.0,Grenade
395,6,Hostage Taking (Kidnapping),19,Transportation,13,Unknown,,Unknown
396,1,Assassination,2,Government (General),8,Incendiary,20.0,Gasoline or Alcohol
397,3,Bombing/Explosion,3,Police,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
398,9,Unknown,17,Terrorists/Non-State Militia,13,Unknown,,Unknown
399,7,Facility/Infrastructure Attack,5,Abortion Related,8,Incendiary,20.0,Gasoline or Alcohol
400,2,Armed Assault,2,Government (General),5,Firearms,5.0,Unknown Gun Type
401,5,Hostage Taking (Barricade Incident),15,Religious Figures/Institutions,5,Firearms,3.0,Handgun
402,1,Assassination,15,Religious Figures/Institutions,5,Firearms,5.0,Unknown Gun Type
403,7,Facility/Infrastructure Attack,2,Government (General),13,Unknown,,Unknown
404,2,Armed Assault,10,Journalists & Media,8,Incendiary,,Unknown
405,6,Hostage Taking (Kidnapping),18,Tourists,13,Unknown,,Unknown
406,7,Facility/Infrastructure Attack,5,Abortion Related,8,Incendiary,18.0,Arson/Fire
407,3,Bombing/Explosion,17,Terrorists/Non-State Militia,8,Incendiary,,Unknown
408,7,Facility/Infrastructure Attack,1,Business,13,Unknown,,Unknown
409,1,Assassination,7,Government (Diplomatic),6,Explosives,15.0,Vehicle
410,7,Facility/Infrastructure Attack,8,Educational Institution,5,Firearms,3.0,Handgun
411,2,Armed Assault,14,Private Citizens & Property,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
412,1,Assassination,2,Government (General),8,Incendiary,,Unknown
413,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
414,2,Armed Assault,8,Educational Institution,8,Incendiary,,Unknown
415,3,Bombing/Explosion,10,Journalists & Media,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
416,7,Facility/Infrastructure Attack,7,Government (Diplomatic),8,Incendiary,18.0,Arson/Fire
417,7,Facility/Infrastructure Attack,5,Abortion Related,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
418,1,Assassination,2,Government (General),6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
419,5,Hostage Taking (Barricade Incident),2,Government (General),6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
420,1,Assassination,10,Journalists & Media,9,Melee,23.0,Knife or Other Sharp Object
421,1,Assassination,8,Educational Institution,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
422,7,Facility/Infrastructure Attack,1,Business,5,Firearms,3.0,Handgun
423,6,Hostage Taking (Kidnapping),16,Telecommunication,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
424,1,Assassination,7,Government (Diplomatic),2,Chemical,1.0,Poisoning
425,1,Assassination,2,Government (General),9,Melee,23.0,Knife or Other Sharp Object
426,2,Armed Assault,7,Government (Diplomatic),9,Melee,23.0,Knife or Other Sharp Object
427,2,Armed Assault,1,Business,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
428,1,Assassination,8,Educational Institution,9,Melee,23.0,Knife or Other Sharp Object
429,5,Hostage Taking (Barricade Incident),7,Government (Diplomatic),9,Melee,21.0,Blunt Object
430,5,Hostage Taking (Barricade Incident),2,Government (General),8,Incendiary,,Unknown
431,3,Bombing/Explosion,21,Utilities,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
432,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,5,Firearms,3.0,Handgun
433,7,Facility/Infrastructure Attack,9,Food or Water Supply,2,Chemical,,Unknown
434,8,Unarmed Assault,19,Transportation,9,Melee,21.0,Blunt Object
435,2,Armed Assault,19,Transportation,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
436,1,Assassination,10,Journalists & Media,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
437,5,Hostage Taking (Barricade Incident),19,Transportation,5,Firearms,3.0,Handgun
438,3,Bombing/Explosion,1,Business,6,Explosives,8.0,Landmine
439,3,Bombing/Explosion,4,Military,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
440,5,Hostage Taking (Barricade Incident),19,Transportation,13,Unknown,,Unknown
441,7,Facility/Infrastructure Attack,4,Military,13,Unknown,,Unknown
442,2,Armed Assault,17,Terrorists/Non-State Militia,9,Melee,21.0,Blunt Object
443,5,Hostage Taking (Barricade Incident),19,Transportation,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
444,5,Hostage Taking (Barricade Incident),21,Utilities,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
445,5,Hostage Taking (Barricade Incident),3,Police,5,Firearms,3.0,Handgun
446,3,Bombing/Explosion,5,Abortion Related,2,Chemical,30.0,Explosive
447,1,Assassination,7,Government (Diplomatic),9,Melee,23.0,Knife or Other Sharp Object
448,1,Assassination,10,Journalists & Media,5,Firearms,5.0,Unknown Gun Type
449,3,Bombing/Explosion,10,Journalists & Media,6,Explosives,28.0,Dynamite/TNT
450,3,Bombing/Explosion,2,Government (General),13,Unknown,,Unknown
451,1,Assassination,8,Educational Institution,6,Explosives,16.0,Unknown Explosive Type
452,7,Facility/Infrastructure Attack,6,Airports & Aircraft,8,Incendiary,20.0,Gasoline or Alcohol
453,7,Facility/Infrastructure Attack,6,Airports & Aircraft,9,Melee,21.0,Blunt Object
454,7,Facility/Infrastructure Attack,13,Other,8,Incendiary,,Unknown
455,5,Hostage Taking (Barricade Incident),10,Journalists & Media,13,Unknown,,Unknown
456,5,Hostage Taking (Barricade Incident),4,Military,5,Firearms,3.0,Handgun
457,1,Assassination,14,Private Citizens & Property,8,Incendiary,,Unknown
458,1,Assassination,3,Police,9,Melee,21.0,Blunt Object
459,5,Hostage Taking (Barricade Incident),1,Business,8,Incendiary,18.0,Arson/Fire
460,3,Bombing/Explosion,3,Police,5,Firearms,3.0,Handgun
461,7,Facility/Infrastructure Attack,16,Telecommunication,8,Incendiary,18.0,Arson/Fire
462,2,Armed Assault,12,NGO,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
463,7,Facility/Infrastructure Attack,6,Airports & Aircraft,11,Sabotage Equipment,,Unknown
464,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,31.0,Pipe Bomb
465,1,Assassination,1,Business,13,Unknown,,Unknown
466,3,Bombing/Explosion,8,Educational Institution,6,Explosives,9.0,Letter Bomb
467,1,Assassination,3,Police,6,Explosives,8.0,Landmine
468,3,Bombing/Explosion,20,Unknown,13,Unknown,,Unknown
469,5,Hostage Taking (Barricade Incident),8,Educational Institution,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
470,2,Armed Assault,16,Telecommunication,5,Firearms,3.0,Handgun
471,3,Bombing/Explosion,5,Abortion Related,6,Explosives,16.0,Unknown Explosive Type
472,1,Assassination,15,Religious Figures/Institutions,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
473,3,Bombing/Explosion,4,Military,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
474,2,Armed Assault,9,Food or Water Supply,8,Incendiary,20.0,Gasoline or Alcohol
475,3,Bombing/Explosion,2,Government (General),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
476,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,8,Incendiary,,Unknown
477,3,Bombing/Explosion,17,Terrorists/Non-State Militia,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
478,3,Bombing/Explosion,22,Violent Political Party,6,Explosives,15.0,Vehicle
479,1,Assassination,4,Military,6,Explosives,15.0,Vehicle
480,6,Hostage Taking (Kidnapping),1,Business,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
481,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,12.0,Remote Trigger
482,5,Hostage Taking (Barricade Incident),10,Journalists & Media,5,Firearms,5.0,Unknown Gun Type
483,3,Bombing/Explosion,21,Utilities,6,Explosives,14.0,Time Fuse
484,1,Assassination,10,Journalists & Media,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
485,7,Facility/Infrastructure Attack,7,Government (Diplomatic),5,Firearms,5.0,Unknown Gun Type
486,3,Bombing/Explosion,2,Government (General),8,Incendiary,,Unknown
487,1,Assassination,8,Educational Institution,5,Firearms,5.0,Unknown Gun Type
488,9,Unknown,12,NGO,13,Unknown,,Unknown
489,5,Hostage Taking (Barricade Incident),10,Journalists & Media,5,Firearms,3.0,Handgun
490,3,Bombing/Explosion,19,Transportation,6,Explosives,31.0,Pipe Bomb
491,1,Assassination,14,Private Citizens & Property,6,Explosives,28.0,Dynamite/TNT
492,3,Bombing/Explosion,21,Utilities,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
493,3,Bombing/Explosion,19,Transportation,6,Explosives,8.0,Landmine
494,8,Unarmed Assault,4,Military,9,Melee,21.0,Blunt Object
495,1,Assassination,17,Terrorists/Non-State Militia,13,Unknown,,Unknown
496,8,Unarmed Assault,10,Journalists & Media,9,Melee,21.0,Blunt Object
497,1,Assassination,6,Airports & Aircraft,5,Firearms,5.0,Unknown Gun Type
498,7,Facility/Infrastructure Attack,21,Utilities,11,Sabotage Equipment,,Unknown
499,7,Facility/Infrastructure Attack,3,Police,13,Unknown,,Unknown
500,3,Bombing/Explosion,10,Journalists & Media,13,Unknown,,Unknown
501,2,Armed Assault,19,Transportation,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
502,2,Armed Assault,15,Religious Figures/Institutions,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
503,2,Armed Assault,7,Government (Diplomatic),8,Incendiary,18.0,Arson/Fire
504,3,Bombing/Explosion,3,Police,6,Explosives,9.0,Letter Bomb
505,3,Bombing/Explosion,4,Military,5,Firearms,3.0,Handgun
506,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,9,Melee,24.0,Rope or Other Strangling Device
507,9,Unknown,20,Unknown,13,Unknown,,Unknown
508,1,Assassination,17,Terrorists/Non-State Militia,6,Explosives,15.0,Vehicle
509,5,Hostage Taking (Barricade Incident),10,Journalists & Media,6,Explosives,16.0,Unknown Explosive Type
510,1,Assassination,15,Religious Figures/Institutions,13,Unknown,,Unknown
511,5,Hostage Taking (Barricade Incident),10,Journalists & Media,8,Incendiary,,Unknown
512,2,Armed Assault,1,Business,13,Unknown,,Unknown
513,3,Bombing/Explosion,20,Unknown,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
514,6,Hostage Taking (Kidnapping),10,Journalists & Media,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
515,7,Facility/Infrastructure Attack,19,Transportation,8,Incendiary,18.0,Arson/Fire
516,1,Assassination,1,Business,9,Melee,23.0,Knife or Other Sharp Object
517,2,Armed Assault,7,Government (Diplomatic),13,Unknown,,Unknown
518,5,Hostage Taking (Barricade Incident),10,Journalists & Media,12,Other,,Unknown
519,2,Armed Assault,2,Government (General),5,Firearms,4.0,Rifle/Shotgun (non-automatic)
520,5,Hostage Taking (Barricade Incident),2,Government (General),13,Unknown,,Unknown
521,2,Armed Assault,15,Religious Figures/Institutions,13,Unknown,,Unknown
522,7,Facility/Infrastructure Attack,7,Government (Diplomatic),13,Unknown,,Unknown
523,8,Unarmed Assault,2,Government (General),9,Melee,21.0,Blunt Object
524,7,Facility/Infrastructure Attack,21,Utilities,13,Unknown,,Unknown
525,2,Armed Assault,16,Telecommunication,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
526,7,Facility/Infrastructure Attack,19,Transportation,13,Unknown,,Unknown
527,1,Assassination,8,Educational Institution,13,Unknown,,Unknown
528,4,Hijacking,6,Airports & Aircraft,8,Incendiary,,Unknown
529,2,Armed Assault,22,Violent Political Party,5,Firearms,5.0,Unknown Gun Type
530,9,Unknown,8,Educational Institution,13,Unknown,,Unknown
531,3,Bombing/Explosion,19,Transportation,6,Explosives,14.0,Time Fuse
532,5,Hostage Taking (Barricade Incident),15,Religious Figures/Institutions,13,Unknown,,Unknown
533,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,13,Unknown,,Unknown
534,7,Facility/Infrastructure Attack,16,Telecommunication,12,Other,,Unknown
535,7,Facility/Infrastructure Attack,16,Telecommunication,11,Sabotage Equipment,,Unknown
536,2,Armed Assault,19,Transportation,5,Firearms,5.0,Unknown Gun Type
537,1,Assassination,2,Government (General),6,Explosives,7.0,Grenade
538,2,Armed Assault,12,NGO,5,Firearms,5.0,Unknown Gun Type
539,1,Assassination,7,Government (Diplomatic),8,Incendiary,,Unknown
540,2,Armed Assault,6,Airports & Aircraft,6,Explosives,16.0,Unknown Explosive Type
541,3,Bombing/Explosion,14,Private Citizens & Property,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
542,3,Bombing/Explosion,8,Educational Institution,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
543,7,Facility/Infrastructure Attack,14,Private Citizens & Property,12,Other,,Unknown
544,7,Facility/Infrastructure Attack,14,Private Citizens & Property,2,Chemical,,Unknown
545,5,Hostage Taking (Barricade Incident),10,Journalists & Media,9,Melee,23.0,Knife or Other Sharp Object
546,1,Assassination,3,Police,8,Incendiary,,Unknown
547,1,Assassination,7,Government (Diplomatic),6,Explosives,14.0,Time Fuse
548,2,Armed Assault,14,Private Citizens & Property,13,Unknown,,Unknown
549,3,Bombing/Explosion,15,Religious Figures/Institutions,5,Firearms,5.0,Unknown Gun Type
550,3,Bombing/Explosion,3,Police,5,Firearms,5.0,Unknown Gun Type
551,2,Armed Assault,10,Journalists & Media,5,Firearms,5.0,Unknown Gun Type
552,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),5,Firearms,3.0,Handgun
553,8,Unarmed Assault,10,Journalists & Media,3,Radiological,,Unknown
554,8,Unarmed Assault,7,Government (Diplomatic),9,Melee,22.0,"Hands, Feet, Fists"
555,1,Assassination,15,Religious Figures/Institutions,9,Melee,23.0,Knife or Other Sharp Object
556,1,Assassination,22,Violent Political Party,6,Explosives,15.0,Vehicle
557,2,Armed Assault,2,Government (General),8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
558,7,Facility/Infrastructure Attack,10,Journalists & Media,13,Unknown,,Unknown
559,7,Facility/Infrastructure Attack,2,Government (General),10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,Unknown
560,4,Hijacking,6,Airports & Aircraft,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
561,3,Bombing/Explosion,19,Transportation,6,Explosives,15.0,Vehicle
562,8,Unarmed Assault,7,Government (Diplomatic),9,Melee,27.0,Unknown Weapon Type
563,2,Armed Assault,6,Airports & Aircraft,11,Sabotage Equipment,,Unknown
564,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,8.0,Landmine
565,7,Facility/Infrastructure Attack,16,Telecommunication,13,Unknown,,Unknown
566,1,Assassination,22,Violent Political Party,5,Firearms,5.0,Unknown Gun Type
567,3,Bombing/Explosion,2,Government (General),6,Explosives,7.0,Grenade
568,7,Facility/Infrastructure Attack,10,Journalists & Media,2,Chemical,,Unknown
569,5,Hostage Taking (Barricade Incident),1,Business,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
570,7,Facility/Infrastructure Attack,21,Utilities,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
571,1,Assassination,7,Government (Diplomatic),6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
572,1,Assassination,1,Business,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
573,1,Assassination,8,Educational Institution,6,Explosives,14.0,Time Fuse
574,8,Unarmed Assault,14,Private Citizens & Property,9,Melee,27.0,Unknown Weapon Type
575,2,Armed Assault,18,Tourists,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
576,5,Hostage Taking (Barricade Incident),8,Educational Institution,13,Unknown,,Unknown
577,1,Assassination,20,Unknown,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
578,5,Hostage Taking (Barricade Incident),2,Government (General),5,Firearms,4.0,Rifle/Shotgun (non-automatic)
579,7,Facility/Infrastructure Attack,21,Utilities,5,Firearms,5.0,Unknown Gun Type
580,1,Assassination,22,Violent Political Party,2,Chemical,,Unknown
581,5,Hostage Taking (Barricade Incident),16,Telecommunication,5,Firearms,5.0,Unknown Gun Type
582,3,Bombing/Explosion,2,Government (General),5,Firearms,5.0,Unknown Gun Type
583,1,Assassination,8,Educational Institution,8,Incendiary,,Unknown
584,6,Hostage Taking (Kidnapping),2,Government (General),5,Firearms,3.0,Handgun
585,3,Bombing/Explosion,17,Terrorists/Non-State Militia,6,Explosives,15.0,Vehicle
586,2,Armed Assault,18,Tourists,5,Firearms,5.0,Unknown Gun Type
587,5,Hostage Taking (Barricade Incident),7,Government (Diplomatic),13,Unknown,,Unknown
588,2,Armed Assault,3,Police,13,Unknown,,Unknown
589,1,Assassination,10,Journalists & Media,9,Melee,26.0,Suffocation
590,7,Facility/Infrastructure Attack,1,Business,12,Other,,Unknown
591,7,Facility/Infrastructure Attack,20,Unknown,8,Incendiary,,Unknown
592,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
593,2,Armed Assault,6,Airports & Aircraft,5,Firearms,5.0,Unknown Gun Type
594,7,Facility/Infrastructure Attack,1,Business,5,Firearms,5.0,Unknown Gun Type
595,6,Hostage Taking (Kidnapping),16,Telecommunication,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
596,7,Facility/Infrastructure Attack,9,Food or Water Supply,8,Incendiary,,Unknown
597,1,Assassination,1,Business,6,Explosives,9.0,Letter Bomb
598,2,Armed Assault,10,Journalists & Media,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
599,1,Assassination,6,Airports & Aircraft,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
600,5,Hostage Taking (Barricade Incident),7,Government (Diplomatic),5,Firearms,5.0,Unknown Gun Type
601,7,Facility/Infrastructure Attack,2,Government (General),5,Firearms,5.0,Unknown Gun Type
602,5,Hostage Taking (Barricade Incident),4,Military,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
603,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),8,Incendiary,,Unknown
604,1,Assassination,19,Transportation,13,Unknown,,Unknown
605,5,Hostage Taking (Barricade Incident),7,Government (Diplomatic),5,Firearms,4.0,Rifle/Shotgun (non-automatic)
606,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
607,3,Bombing/Explosion,19,Transportation,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
608,6,Hostage Taking (Kidnapping),22,Violent Political Party,13,Unknown,,Unknown
609,2,Armed Assault,4,Military,13,Unknown,,Unknown
610,3,Bombing/Explosion,1,Business,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
611,4,Hijacking,19,Transportation,13,Unknown,,Unknown
612,2,Armed Assault,20,Unknown,8,Incendiary,20.0,Gasoline or Alcohol
613,2,Armed Assault,12,NGO,8,Incendiary,,Unknown
614,1,Assassination,15,Religious Figures/Institutions,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
615,3,Bombing/Explosion,14,Private Citizens & Property,5,Firearms,3.0,Handgun
616,3,Bombing/Explosion,3,Police,13,Unknown,,Unknown
617,3,Bombing/Explosion,3,Police,9,Melee,21.0,Blunt Object
618,3,Bombing/Explosion,14,Private Citizens & Property,12,Other,,Unknown
619,6,Hostage Taking (Kidnapping),8,Educational Institution,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
620,3,Bombing/Explosion,17,Terrorists/Non-State Militia,6,Explosives,7.0,Grenade
621,6,Hostage Taking (Kidnapping),8,Educational Institution,5,Firearms,3.0,Handgun
622,2,Armed Assault,8,Educational Institution,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
623,3,Bombing/Explosion,1,Business,5,Firearms,3.0,Handgun
624,1,Assassination,12,NGO,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
625,3,Bombing/Explosion,21,Utilities,6,Explosives,8.0,Landmine
626,5,Hostage Taking (Barricade Incident),15,Religious Figures/Institutions,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
627,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,10.0,Pressure Trigger
628,3,Bombing/Explosion,19,Transportation,13,Unknown,,Unknown
629,7,Facility/Infrastructure Attack,10,Journalists & Media,8,Incendiary,18.0,Arson/Fire
630,3,Bombing/Explosion,7,Government (Diplomatic),5,Firearms,5.0,Unknown Gun Type
631,3,Bombing/Explosion,18,Tourists,6,Explosives,14.0,Time Fuse
632,3,Bombing/Explosion,15,Religious Figures/Institutions,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
633,9,Unknown,21,Utilities,13,Unknown,,Unknown
634,1,Assassination,3,Police,9,Melee,24.0,Rope or Other Strangling Device
635,1,Assassination,2,Government (General),6,Explosives,14.0,Time Fuse
636,3,Bombing/Explosion,14,Private Citizens & Property,13,Unknown,,Unknown
637,8,Unarmed Assault,14,Private Citizens & Property,9,Melee,24.0,Rope or Other Strangling Device
638,3,Bombing/Explosion,10,Journalists & Media,6,Explosives,14.0,Time Fuse
639,1,Assassination,22,Violent Political Party,9,Melee,23.0,Knife or Other Sharp Object
640,1,Assassination,19,Transportation,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
641,5,Hostage Taking (Barricade Incident),1,Business,6,Explosives,7.0,Grenade
642,8,Unarmed Assault,10,Journalists & Media,2,Chemical,,Unknown
643,7,Facility/Infrastructure Attack,8,Educational Institution,13,Unknown,,Unknown
644,7,Facility/Infrastructure Attack,1,Business,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
645,7,Facility/Infrastructure Attack,14,Private Citizens & Property,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
